 66.60	102370	102370	U	0	unclassified
 33.40	51343	21	R	1	root
 33.34	51250	384	R1	131567	  cellular organisms
 30.95	47575	2430	D	2	    Bacteria
 17.88	27485	1738	P	1224	      Proteobacteria
  8.18	12577	867	C	28211	        Alphaproteobacteria
  4.64	7138	663	O	356	          Rhizobiales
  1.47	2261	175	F	41294	            Bradyrhizobiaceae
  0.99	1523	398	G	374	              Bradyrhizobium
  0.27	421	115	G1	2631580	                unclassified Bradyrhizobium
  0.03	52	52	S	858422	                  Bradyrhizobium sp. CCBAU 051011
  0.03	42	42	S	2057741	                  Bradyrhizobium sp. SK17
  0.03	40	40	S	1197460	                  Bradyrhizobium sp. 6(2017)
  0.03	39	39	S	115808	                  Bradyrhizobium sp. ORS 285
  0.02	38	38	S	288000	                  Bradyrhizobium sp. BTAi1
  0.01	19	19	S	114615	                  Bradyrhizobium sp. ORS 278
  0.01	17	17	S	167468	                  Bradyrhizobium sp. ORS 3257
  0.01	16	16	S	1223566	                  Bradyrhizobium sp. CCGE-LA001
  0.01	13	13	S	1404864	                  Bradyrhizobium sp. 58S1
  0.01	12	12	S	376	                  Bradyrhizobium sp.
  0.01	9	9	S	319017	                  Bradyrhizobium sp. WSM471
  0.00	4	4	S	2493093	                  Bradyrhizobium sp. LCT2
  0.00	2	2	S	335659	                  Bradyrhizobium sp. S23321
  0.00	2	2	S	2599805	                  Bradyrhizobium sp. SG09
  0.00	1	1	S	2599819	                  Bradyrhizobium sp. TM102
  0.13	205	205	S	1437360	                Bradyrhizobium erythrophlei
  0.05	79	79	S	1274631	                Bradyrhizobium icense
  0.05	78	78	S	190148	                Bradyrhizobium paxllaeri
  0.03	50	50	S	255045	                Bradyrhizobium canariense
  0.03	49	49	S	722472	                Bradyrhizobium lablabi
  0.02	32	0	S	44255	                Bradyrhizobium oligotrophicum
  0.02	32	32	S1	1245469	                  Bradyrhizobium oligotrophicum S58
  0.02	30	30	S	1404367	                Bradyrhizobium symbiodeficiens
  0.02	29	29	S	1325107	                Bradyrhizobium zhanjiangense
  0.02	29	25	S	375	                Bradyrhizobium japonicum
  0.00	4	4	S1	476282	                  Bradyrhizobium japonicum SEMIA 5079
  0.02	28	28	S	1325090	                Bradyrhizobium guangdongense
  0.01	23	23	S	1325095	                Bradyrhizobium guangzhouense
  0.01	21	21	S	1404768	                Bradyrhizobium amphicarpaeae
  0.01	15	15	S	1325115	                Bradyrhizobium guangxiense
  0.01	15	15	S	1355477	                Bradyrhizobium diazoefficiens
  0.01	15	15	S	244734	                Bradyrhizobium betae
  0.00	6	6	S	931866	                Bradyrhizobium ottawaense
  0.14	211	0	G	1073	              Rhodopseudomonas
  0.14	211	94	S	1076	                Rhodopseudomonas palustris
  0.02	37	37	S1	316055	                  Rhodopseudomonas palustris BisA53
  0.02	35	35	S1	316056	                  Rhodopseudomonas palustris BisB18
  0.02	24	24	S1	316058	                  Rhodopseudomonas palustris HaA2
  0.01	9	9	S1	258594	                  Rhodopseudomonas palustris CGA009
  0.00	6	6	S1	395960	                  Rhodopseudomonas palustris TIE-1
  0.00	6	6	S1	652103	                  Rhodopseudomonas palustris DX-1
  0.10	154	6	G	85413	              Bosea
  0.09	131	5	G1	2653178	                unclassified Bosea
  0.02	38	38	S	2599640	                  Bosea sp. F3-2
  0.02	37	37	S	1867715	                  Bosea sp. Tri-49
  0.01	20	20	S	1842539	                  Bosea sp. RAC05
  0.01	18	18	S	2015316	                  Bosea sp. AS-1
  0.01	13	13	S	1792307	                  Bosea sp. PAMC 26642
  0.01	17	17	S	1526658	                Bosea vaviloviae
  0.03	48	0	G	1395974	              Tardiphaga
  0.03	48	45	G1	2631404	                unclassified Tardiphaga
  0.00	2	2	S	2592814	                  Tardiphaga sp. vice154
  0.00	1	1	S	2592815	                  Tardiphaga sp. vice278
  0.03	41	0	G	911	              Nitrobacter
  0.02	27	0	S	912	                Nitrobacter hamburgensis
  0.02	27	27	S1	323097	                  Nitrobacter hamburgensis X14
  0.01	14	0	S	913	                Nitrobacter winogradskyi
  0.01	14	14	S1	323098	                  Nitrobacter winogradskyi Nb-255
  0.02	37	0	G	1649510	              Variibacter
  0.02	37	37	S	1333996	                Variibacter gotjawalensis
  0.02	31	0	G	40136	              Oligotropha
  0.02	31	31	S	40137	                Oligotropha carboxidovorans
  0.01	23	0	G	1033	              Afipia
  0.01	23	0	G1	2642050	                unclassified Afipia
  0.01	23	23	S	1882747	                  Afipia sp. GAS231
  0.01	18	0	F1	81426	              unclassified Bradyrhizobiaceae
  0.01	18	18	S	709797	                Bradyrhizobiaceae bacterium SG-6C
  0.62	955	58	F	82115	            Rhizobiaceae
