 89.71	33507001	33507001	U	0	unclassified
 10.29	3844263	451	R	1	root
 10.29	3842436	9748	R1	131567	  cellular organisms
 10.15	3790151	208879	D	2	    Bacteria
  6.52	2434800	198611	P	1224	      Proteobacteria
  2.96	1107283	82530	C	28211	        Alphaproteobacteria
  1.87	699818	52616	O	356	          Rhizobiales
  1.00	371981	39946	F	41294	            Bradyrhizobiaceae
  0.71	264773	96514	G	374	              Bradyrhizobium
  0.09	33650	33650	S	1437360	                Bradyrhizobium erythrophlei
  0.06	22493	21955	S	1355477	                Bradyrhizobium diazoefficiens
  0.00	538	538	S1	224911	                  Bradyrhizobium diazoefficiens USDA 110
  0.03	12985	12985	S	1274631	                Bradyrhizobium icense
  0.03	12403	12403	S	2057741	                Bradyrhizobium sp. SK17
  0.03	11951	11951	S	722472	                Bradyrhizobium lablabi
  0.03	9978	8545	S	375	                Bradyrhizobium japonicum
  0.00	1424	1424	S1	476282	                  Bradyrhizobium japonicum SEMIA 5079
  0.00	9	9	S1	1037409	                  Bradyrhizobium japonicum USDA 6
  0.02	6801	6801	S	335659	                Bradyrhizobium sp. S23321
  0.02	6596	6596	S	931866	                Bradyrhizobium ottawaense
  0.02	6396	6396	S	376	                Bradyrhizobium sp.
  0.02	6212	6212	S	1223566	                Bradyrhizobium sp. CCGE-LA001
  0.02	5835	5835	S	319017	                Bradyrhizobium sp. WSM471
  0.02	5794	0	S	44255	                Bradyrhizobium oligotrophicum
  0.02	5794	5794	S1	1245469	                  Bradyrhizobium oligotrophicum S58
  0.01	5264	5264	S	288000	                Bradyrhizobium sp. BTAi1
  0.01	4886	4886	S	114615	                Bradyrhizobium sp. ORS 278
  0.01	4840	4840	S	115808	                Bradyrhizobium sp. ORS 285
  0.01	4718	4718	S	1404367	                Bradyrhizobium sp. 3 85S1MB
  0.01	4372	4372	S	1404768	                Bradyrhizobium sp. 2 39S1MB
  0.01	3085	3085	S	1839752	                Bradyrhizobium sp. G22
  0.07	26464	0	G	1073	              Rhodopseudomonas
  0.07	26464	9452	S	1076	                Rhodopseudomonas palustris
  0.01	3632	3632	S1	316056	                  Rhodopseudomonas palustris BisB18
  0.01	3482	3482	S1	316055	                  Rhodopseudomonas palustris BisA53
  0.01	3211	3211	S1	316058	                  Rhodopseudomonas palustris HaA2
  0.01	2974	2974	S1	316057	                  Rhodopseudomonas palustris BisB5
  0.01	2344	2344	S1	652103	                  Rhodopseudomonas palustris DX-1
  0.00	693	693	S1	395960	                  Rhodopseudomonas palustris TIE-1
  0.00	676	676	S1	258594	                  Rhodopseudomonas palustris CGA009
  0.04	15210	0	G	1033	              Afipia
  0.04	15210	15210	S	1882747	                Afipia sp. GAS231
  0.03	10321	1034	G	85413	              Bosea
  0.01	2678	2678	S	2015316	                Bosea sp. AS-1
  0.01	2548	2548	S	1526658	                Bosea vaviloviae
  0.01	2216	2216	S	1842539	                Bosea sp. RAC05
  0.00	1845	1845	S	1792307	                Bosea sp. PAMC 26642
  0.02	6346	295	G	911	              Nitrobacter
  0.01	4076	0	S	912	                Nitrobacter hamburgensis
  0.01	4076	4076	S1	323097	                  Nitrobacter hamburgensis X14
  0.01	1975	0	S	913	                Nitrobacter winogradskyi
  0.01	1975	1975	S1	323098	                  Nitrobacter winogradskyi Nb-255
  0.01	3400	0	F1	81426	              unclassified Bradyrhizobiaceae
  0.01	3400	3400	S	709797	                Bradyrhizobiaceae bacterium SG-6C
  0.01	2863	0	G	1649510	              Variibacter
  0.01	2863	2863	S	1333996	                Variibacter gotjawalensis
  0.01	2658	0	G	40136	              Oligotropha
  0.01	2658	2617	S	40137	                Oligotropha carboxidovorans
  0.00	40	40	S1	504832	                  Oligotropha carboxidovorans OM5
  0.00	1	1	S1	1031710	                  Oligotropha carboxidovorans OM4
  0.28	103457	1658	F	69277	            Phyllobacteriaceae
  0.25	93772	39688	G	68287	              Mesorhizobium
  0.05	17884	11556	S	381	                Mesorhizobium loti
  0.02	6328	6328	S1	935546	                  Mesorhizobium loti NZP2037
  0.02	8203	0	S	2066070	                Mesorhizobium japonicum
  0.02	8203	8203	S1	266835	                  Mesorhizobium japonicum MAFF 303099
  0.02	5642	0	S	71433	                Mesorhizobium amorphae
  0.02	5642	5642	S1	1082933	                  Mesorhizobium amorphae CCNWGS0123
  0.01	5298	0	S	593909	                Mesorhizobium opportunistum
  0.01	5298	5298	S1	536019	                  Mesorhizobium opportunistum WSM2075
  0.01	5010	1110	S	39645	                Mesorhizobium ciceri
  0.01	3014	3014	S1	682633	                  Mesorhizobium ciceri ca181
  0.00	886	559	S1	278148	                  Mesorhizobium ciceri biovar biserrulae
  0.00	327	327	S2	765698	                    Mesorhizobium ciceri biovar biserrulae WSM1271
  0.01	4252	0	S	536018	                Mesorhizobium australicum
  0.01	4252	4252	S1	754035	                  Mesorhizobium australicum WSM2073
  0.01	3545	0	S	28104	                Mesorhizobium huakuii
  0.01	3545	3545	S1	763057	                  Mesorhizobium huakuii 7653R
  0.01	1968	1968	S	1670800	                Mesorhizobium oceanicum
  0.00	1630	1630	S	2108445	                Mesorhizobium sp. DCY119
  0.00	652	652	S	278153	                Mesorhizobium sp. WSM1497
  0.01	3569	211	G	31988	              Aminobacter
  0.00	1688	1688	S	83263	                Aminobacter aminovorans
  0.00	1670	1670	S	374606	                Aminobacter sp. MSH1
  0.00	1514	3	G	245876	              Nitratireductor
  0.00	1019	1019	S	1756988	                Nitratireductor sp. OM-1
  0.00	492	492	S	472175	                Nitratireductor basaltis
  0.00	1272	19	G	274591	              Hoeflea
  0.00	643	643	S	1620421	                Hoeflea sp. IMCC20628
  0.00	610	0	S	244596	                Hoeflea phototrophica
  0.00	610	610	S1	411684	                  Hoeflea phototrophica DFL-43
  0.00	909	0	G	449972	              Chelativorans
  0.00	909	909	S	266779	                Chelativorans sp. BNC1
  0.00	763	0	G	28100	              Phyllobacterium
  0.00	763	763	S	1867719	                Phyllobacterium zundukense
  0.14	50719	3137	F	82115	            Rhizobiaceae
  0.09	32792	2224	F1	227290	              Rhizobium/Agrobacterium group
  0.06	22294	6804	G	379	                Rhizobium
  0.01	5116	2388	S	384	                  Rhizobium leguminosarum
  0.00	1853	96	S1	386	                    Rhizobium leguminosarum bv. trifolii
  0.00	567	567	S2	1033991	                      Rhizobium leguminosarum bv. trifolii CB782
  0.00	536	536	S2	395492	                      Rhizobium leguminosarum bv. trifolii WSM2304
  0.00	340	340	S2	395491	                      Rhizobium leguminosarum bv. trifolii WSM1325
  0.00	314	314	S2	754523	                      Rhizobium leguminosarum bv. trifolii WSM1689
  0.00	875	548	S1	387	                    Rhizobium leguminosarum bv. viciae
  0.00	327	327	S2	216596	                      Rhizobium leguminosarum bv. viciae 3841
  0.00	1310	398	S	29449	                  Rhizobium etli
  0.00	595	595	S1	538025	                    Rhizobium etli 8C-3
  0.00	128	0	S1	147700	                    Rhizobium etli bv. phaseoli
  0.00	128	128	S2	1432049	                      Rhizobium etli bv. phaseoli str. IE4803
