UniqID,Field,Treatment,Variety,Plot ROW,Plot RNG,Row,Zone ,Sample,Replicate,comb,SampleID,LibraryID
1,MDL2,None,42P713,17,8,1,F,1,1,17-1-F1,D0523,L213
4,MDL2,None,42P713,17,8,1,R,1,1,17-1-R1,D0524,L214
7,MDL2,None,42P713,17,8,2,F,1,1,17-2-F1,D0525,L215
10,MDL2,None,42P713,17,8,2,R,1,1,17-2-R1,D0526,L216
13,MDL2,Mara,42P713,19,8,1,F,1,1,19-1-F1,D0527,L217
16,MDL2,Mara,42P713,19,8,1,R,1,1,19-1-R1,D0528,L194
19,MDL2,Mara,42P713,19,8,2,F,1,1,19-2-F1,D0529,L195
22,MDL2,Mara,42P713,19,8,2,R,1,1,19-2-R1,D0530,L196
25,MDL2,Mara,42P713,25,8,1,F,1,2,25-1-F1,D0531,L197
28,MDL2,Mara,42P713,25,8,1,R,1,2,25-1-R1,D0532,L198
31,MDL2,Mara,42P713,25,8,2,F,1,2,25-2-F1,D0533,L324
34,MDL2,Mara,42P713,25,8,2,R,1,2,25-2-R1,D0534,L200
37,MDL2,None,42P713,27,8,1,F,1,2,27-1-F1,D0535,L201
43,MDL2,None,42P713,27,8,2,F,1,2,27-2-F1,D0537,L202
46,MDL2,None,42P713,27,8,2,R,1,2,27-2-R1,D0538,L203
49,MDL2,None,42P713,71,9,1,F,1,3,71-1-F1,D0539,L325
52,MDL2,None,42P713,71,9,1,R,1,3,71-1-R1,D0540,L205
55,MDL2,None,42P713,71,9,2,F,1,3,71-2-F1,D0541,L206
58,MDL2,None,42P713,71,9,2,R,1,3,71-2-R1,D0542,L207
61,MDL2,Mara,42P713,75,9,1,F,1,3,75-1-F1,D0543,L208
64,MDL2,Mara,42P713,75,9,1,R,1,3,75-1-R1,D0544,L209
67,MDL2,Mara,42P713,75,9,2,F,1,3,75-2-F1,D0545,L210
70,MDL2,Mara,42P713,75,9,2,R,1,3,75-2-R1,D0546,L211
73,MDL2,None,42P713,71,10,1,F,1,4,71-1-F1,D0547,L212
76,MDL2,None,42P713,71,10,1,R,1,4,71-1-R1,D0548,L218
79,MDL2,None,42P713,71,10,2,F,1,4,71-2-F1,D0549,L219
82,MDL2,None,42P713,71,10,2,R,1,4,71-2-R1,D0550,L220
85,MDL2,Mara,42P713,75,10,1,F,1,4,75-1-F1,D0551,L221
88,MDL2,Mara,42P713,75,10,1,R,1,4,75-1-R1,D0552,L222
91,MDL2,Mara,42P713,75,10,2,F,1,4,75-2-F1,D0553,L223
94,MDL2,Mara,42P713,75,10,2,R,1,4,75-2-R1,D0554,L224
97,MDL2,None,42P713,37,22,1,F,1,5,37-1-F1,D0555,L225
100,MDL2,None,42P713,37,22,1,R,1,5,37-1-R1,D0556,L226
103,MDL2,None,42P713,37,22,2,F,1,5,37-2-F1,D0557,L227
106,MDL2,None,42P713,37,22,2,R,1,5,37-2-R1,D0558,L228
109,MDL2,Mara,42P713,41,22,1,F,1,5,41-1-F1,D0559,L229
112,MDL2,Mara,42P713,41,22,1,R,1,5,41-1-R1,D0560,L230
115,MDL2,Mara,42P713,41,22,2,F,1,5,41-2-F1,D0561,L231
118,MDL2,Mara,42P713,41,22,2,R,1,5,41-2-R1,D0562,L232
121,MDL2,Mara,42P713,37,23,1,F,1,6,37-1-F1,D0563,L233
124,MDL2,Mara,42P713,37,23,1,R,1,6,37-1-R1,D0564,L234
127,MDL2,Mara,42P713,37,23,2,F,1,6,37-2-F1,D0565,L235
130,MDL2,Mara,42P713,37,23,2,R,1,6,37-2-R1,D0566,L236
133,MDL2,None,42P713,41,23,1,F,1,6,41-1-F1,D0659,L237
136,MDL2,None,42P713,41,23,1,R,1,6,41-1-R1,D0660,L238
139,MDL2,None,42P713,41,23,2,F,1,6,41-2-F1,D0661,L239
142,MDL2,None,42P713,41,23,2,R,1,6,41-2-R1,D0662,L240
145,MDL2,Mara,42P713,81,40,1,F,1,7,81-1-F1,D0663,L241
148,MDL2,Mara,42P713,81,40,1,R,1,7,81-1-R1,D0664,L242
151,MDL2,Mara,42P713,81,40,2,F,1,7,81-2-F1,D0665,L243
154,MDL2,Mara,42P713,81,40,2,R,1,7,81-2-R1,D0666,L244
157,MDL2,Mara,42P713,83,40,1,F,1,8,83-1-F1,D0667,L245
160,MDL2,Mara,42P713,83,40,1,R,1,8,83-1-R1,D0668,L246
163,MDL2,Mara,42P713,83,40,2,F,1,8,83-2-F1,D0669,L247
166,MDL2,Mara,42P713,83,40,2,R,1,8,83-2-R1,D0670,L248
169,MDL2,None,42P713,89,40,1,F,1,7,89-1-F1,D0671,L249
172,MDL2,None,42P713,89,40,1,R,1,7,89-1-R1,D0672,L250
175,MDL2,None,42P713,89,40,2,F,1,7,89-2-F1,D0673,L251
178,MDL2,None,42P713,89,40,2,R,1,7,89-2-R1,D0674,L252
181,MDL2,None,42P713,85,41,1,F,1,8,85-1-F1,D0675,L253
184,MDL2,None,42P713,85,41,1,R,1,8,85-1-R1,D0676,L254
